Address,Sold Price,Bedrooms,Bathrooms,Area (SqFt),House Age
"10447 Helendale Ave, Tujunga, CA 91042",855000,2.0,1.0,1042.0,
"6841 Haywood St, Tujunga, CA 91042",530000,1.0,1.0,524.0,
"10923 Haskell Ave, Granada Hills, CA 91344",840000,3.0,2.0,1275.0,
"9754 Swinton Ave, North Hills, CA 91343",1000000,3.0,2.0,2019.0,
"9500 Texhoma Ave, Northridge, CA 91325",1370000,4.0,3.0,2820.0,
"18763 Sunburst St, Northridge, CA 91324",850000,3.0,2.0,1486.0,
"7941 Agnew Ave, Los Angeles, CA 90045",1650000,2.0,2.0,1497.0,
"8319 Berger Ave, Playa Del Rey, CA 90293",1850000,4.0,3.0,2685.0,
"7135 W 91st St, Los Angeles, CA 90045",1380000,3.0,2.0,1305.0,
"4360 Glencoe Ave UNIT 2, Marina Del Rey, CA 90292",1400000,2.0,3.0,1544.0,
"2432 Cloy Ave, Venice, CA 90291",1930000,2.0,2.0,1123.0,
"10845 Woodbine St, Los Angeles, CA 90034",1410000,2.0,1.0,896.0,
"10739 Esther Ave, Los Angeles, CA 90064",2880000,5.0,3.0,2200.0,
"2577 Wellesley Ave, Los Angeles, CA 90064",1480000,3.0,1.0,1134.0,
"9017 Alcott St APT 102, Los Angeles, CA 90035",942500,3.0,2.0,1369.0,
"3561 Clarington Ave APT 310, Los Angeles, CA 90034",699500,2.0,2.0,1039.0,
"3627 Keystone Ave APT 2, Los Angeles, CA 90034",1010000,3.0,3.0,1562.0,
"2202 Kelton Ave, Los Angeles, CA 90064",1820000,3.0,3.0,1990.0,
"1505 S Bentley Ave APT 102, Los Angeles, CA 90025",975000,2.0,2.0,1667.0,
"2102 Century Park Ln APT 317, Los Angeles, CA 90067",1180000,2.0,2.0,1560.0,
"2122 Century Park Ln APT 108, Los Angeles, CA 90067",1450000,3.0,3.0,1903.0,
"1229 Smithwood Dr, Los Angeles, CA 90035",1870000,5.0,3.0,3282.0,
"404 S Westgate Ave, Los Angeles, CA 90049",8900000,5.0,5.0,5061.0,
"403 S Bundy Dr, Los Angeles, CA 90049",3600000,3.0,3.0,2563.0,
"604 Haverford Ave, Pacific Palisades, CA 90272",2000000,,,,
"16327 Akron St, Pacific Palisades, CA 90272",1050000,,,,
"1836 Michael Ln, Pacific Palisades, CA 90272",865000,,,,
"5382 1/2 Village Grn, Los Angeles, CA 90016",683000,2.0,1.0,990.0,
"2843 Virginia Rd, Los Angeles, CA 90016",1290000,3.0,2.0,1415.0,
"1841 Clyde Ave, Los Angeles, CA 90019",930000,2.0,1.0,1027.0,
"1120 S Burnside Ave, Los Angeles, CA 90019",1450000,3.0,2.0,1756.0,
"800 W 1st St APT 2608, Los Angeles, CA 90012",940000,4.0,5.0,2906.0,
"435 S La Fayette Park Pl UNIT 311, Los Angeles, CA 90057",639000,2.0,2.0,1445.0,
"142 S Savannah St, Los Angeles, CA 90033",1300000,8.0,4.0,2656.0,
"525 Clifton St, Los Angeles, CA 90031",443000,4.0,2.0,1708.0,
"4280 Via Arbolada UNIT 338, Los Angeles, CA 90042",625500,2.0,2.0,1192.0,
"2428 Panorama Ter, Los Angeles, CA 90039",1410000,2.0,2.0,1568.0,
"3545 The Paseo, Los Angeles, CA 90065",600000,1.0,1.0,518.0,
"4991 Coringa Dr, Los Angeles, CA 90042",1270000,3.0,2.0,1993.0,
"4908 Stratford Rd, Los Angeles, CA 90042",1780000,3.0,2.0,1624.0,
"5928 Meridian St, Los Angeles, CA 90042",1070000,2.0,1.0,1200.0,
"5051 Rosewood Ave APT 206, Los Angeles, CA 90004",630000,2.0,2.0,1055.0,
"1940 N Highland Ave APT 25, Los Angeles, CA 90068",490000,2.0,2.0,980.0,
"2307 El Contento Dr, Los Angeles, CA 90068",2000000,4.0,4.0,1955.0,
"4649 W Avenue 40, Los Angeles, CA 90065",1020000,4.0,2.0,2182.0,
"1335 W 68th St, Los Angeles, CA 90044",450000,1.0,1.0,782.0,
"205 W 98th St, Los Angeles, CA 90003",415000,3.0,2.0,1472.0,
"1414 260th St UNIT 5, Harbor City, CA 90710",467500,2.0,2.0,1119.0,
"1036 N Fries Ave, Wilmington, CA 90744",525000,2.0,1.0,900.0,
"2275 Stonewood Ct, San Pedro, CA 90732",810000,4.0,3.0,1736.0,
"994 W 7th St, San Pedro, CA 90731",1480000,10.0,8.0,5878.0,
"3311 S Carolina St, San Pedro, CA 90731",680000,1.0,1.0,648.0,
"16710 Nicklaus Dr UNIT 73, Sylmar, CA 91342",640000,3.0,3.0,1620.0,
"1850 Upperton Ave, Los Angeles, CA 90042",1900000,4.0,3.0,2396.0,
"1100 Wilshire Blvd APT 2902, Los Angeles, CA 90017",925000,2.0,2.0,1765.0,
"1050 S Grand Ave UNIT 1208, Los Angeles, CA 90015",670000,1.0,1.0,840.0,
"14708 Sherman Way, Van Nuys, CA 91405",842000,4.0,4.0,2100.0,
"8250 Lankershim Blvd #8, North Hollywood, CA 91605",189950,3.0,2.0,800.0,
"4715 S La Villa Marina #B, Marina Del Rey, CA 90292",1380000,3.0,3.0,1582.0,
"10580 Wilshire Blvd #PENTHOUSE 26, Los Angeles, CA 90024",10600000,3.0,6.0,4489.0,
"317 W 56th St, Los Angeles, CA 90037",1820000,1.0,1.0,5528.0,
